,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan
185,2017,680,40,3,1,97,65
186,2019,299,36,2,1,88,36
187,2019,299,9,2,1,88,36
188,2018,315,4,2,1,36,100
189,2022,270,43,2,1,61,30
190,2017,227,35,2,1,60,28
191,2019,247,46,2,1,75,36
192,2019,250,15,2,1,88,36
193,2018,689,34,7,4,235,470
194,2022,335,31,2,1,75,45
195,2023,270,4,2,1,61,30
196,2022,245,37,2,1,75,36
197,2020,350,38,2,1,75,40
198,2017,345,23,2,1,106,47
199,2021,349,36,2,1,74,40
200,2016,298,20,2,1,61,40
201,2018,298,6,2,1,61,40
202,2020,487,7,3,1,95,61
203,2018,480,32,3,1,92,59
204,2019,365,2,2,1,100,45
205,2010,685,15,3,2,120,77
206,2023,375,35,2,1,72,72
207,2022,290,42,2,1,70,45
208,2019,495,27,2,1,72,72
209,2020,315,18,1,1,88,36
210,2017,315,40,2,1,88,36
211,2021,680,10,3,1,97,60
212,2016,295,26,2,1,36,64
213,2018,235,5,2,1,73,30
214,2020,485,4,3,1,91,55
215,2018,287,20,2,1,72,36
216,2019,327,1,2,1,84,36
217,2020,290,42,2,1,74,36
218,2018,287,38,2,1,71,36
219,2017,278,2,2,1,71,36
220,2018,227,26,3,2,72,78
221,2019,550,9,2,1,45,72
222,2020,325,4,2,1,36,72
223,2018,475,32,3,1,45,72
224,2017,685,40,2,1,45,72
225,2019,270,42,2,1,36,78
226,2019,260,33,3,1,36,79
227,2018,255,22,2,1,45,72
228,2022,549,38,2,1,36,72
229,2017,585,23,2,1,36,69
230,2019,280,36,2,2,60,80
231,2019,350,16,2,1,45,72
232,2018,598,40,2,1,36,64
233,2022,480,4,2,1,36,84
234,2023,556,36,3,1,54,84
235,2022,495,20,5,3,120,126
236,2020,270,14,2,1,36,72
237,2017,260,18,2,1,60,120
238,2021,260,25,2,1,36,72
239,2016,260,13,3,1,60,120
240,2018,350,24,2,1,45,72
241,2020,350,15,3,1,36,72
242,2018,270,9,2,1,36,77
243,2019,592,38,2,1,45,72
244,2010,270,2,2,1,72,78
245,2023,350,23,2,1,36,72
246,2022,325,1,5,2,60,120
247,2019,250,17,3,1,36,72
248,2020,595,36,3,1,36,77
249,2017,299,19,2,3,36,72
250,2021,645,23,3,2,72,78
251,2016,200,14,2,1,36,72
252,2018,645,18,2,1,36,72
253,2020,370,25,3,1,36,77
254,2018,255,13,2,1,60,120
255,2019,550,24,3,2,36,72
256,2020,299,15,2,1,45,72
257,2014,200,9,3,3,36,72
258,2017,299,38,2,2,36,69
259,2014,645,2,2,1,36,64
260,2012,550,23,3,2,36,78
261,2019,730,1,2,1,36,79
262,2018,645,17,2,1,36,84
263,2016,550,36,2,2,36,72
264,2015,689,19,5,2,60,120
265,2012,730,23,4,2,36,72
266,2015,585,2,5,1,72,78
267,2018,685,8,3,2,45,72
268,2016,475,0,2,1,60,80
269,2017,275,10,2,1,45,72
270,2019,550,6,2,1,36,72
271,2016,275,11,3,3,36,69
272,2018,270,1,4,1,36,64
273,2017,555,13,2,1,36,78
274,2016,680,3,3,1,36,79
275,2018,495,7,2,1,60,80
276,2019,475,15,1,3,36,72
277,2016,645,27,2,3,36,84
278,2015,260,23,2,3,36,72
279,2018,255,21,2,1,60,120
280,2017,260,12,5,2,36,72
281,2016,255,5,3,1,36,77
282,2015,3357,26,2,2,36,81
283,2018,470,9,2,1,60,82
284,2014,270,4,4,3,45,72
285,2012,280,32,5,1,36,72
286,2013,490,23,3,1,36,69
287,2016,490,19,2,1,72,83
288,2014,475,29,3,1,36,84
289,2017,470,39,3,2,60,85
290,2013,260,28,3,2,36,86
291,2023,275,45,4,1,36,64
292,2022,235,43,2,2,36,84
293,2023,680,24,3,2,36,72
294,2017,235,46,3,2,72,87
295,2018,6670,41,2,1,36,88
