,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan,Cluster
0,2014,200,0.0434782608695652,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,0
1,2023,300,0.1739130434782608,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,0
2,2022,299,0,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,0
3,2019,300,0.217391304347826,0,0,0.0804020100502512,0.1610738255033557,0
4,2020,245,0.1304347826086956,0.1666666666666666,0,0.1959798994974874,0.0290827740492169,0
5,2017,235,0.2391304347826087,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
6,2021,320,0.0217391304347826,0.1666666666666666,0,0.2914572864321608,0.0290827740492169,0
7,2016,237,0.2826086956521739,0.1666666666666666,0,0.1206030150753769,0.0111856823266219,0
8,2018,350,0.0652173913043478,0.1666666666666666,0,0.3417085427135679,0.0604026845637583,0
9,2020,470,0.1521739130434782,0.3333333333333333,0.6666666666666667,0.5577889447236181,0.105145413870246,2
10,2018,275,0.3260869565217391,0.1666666666666666,0,0.1708542713567839,0.0290827740492169,0
11,2019,305,0.5869565217391304,0.1666666666666666,0,0.1507537688442211,0.0492170022371364,0
12,2020,310,0.5,0.1666666666666666,0,0.1809045226130653,0.0492170022371364,0
13,2018,310,0.4565217391304347,0.1666666666666666,0,0.1809045226130653,0.0492170022371364,0
14,2017,315,0.2608695652173913,0.1666666666666666,0,0.0452261306532663,0.116331096196868,0
15,2019,312,0.108695652173913,0.1666666666666666,0,0.0452261306532663,0.1096196868008948,0
16,2019,375,0.5652173913043478,0.1666666666666666,0,0.2311557788944723,0.0514541387024608,0
17,2018,270,0.1956521739130434,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
18,2022,250,0.0869565217391304,0.1666666666666666,0,0.2010050251256281,0.0290827740492169,0
19,2023,297,0.6956521739130435,0.1666666666666666,0,0.1959798994974874,0.0492170022371364,0
20,2022,350,0.8695652173913043,0.1666666666666666,0,0.3467336683417085,0.105145413870246,0
21,2020,300,0.9130434782608696,0.1666666666666666,0,0.1909547738693467,0.0425055928411633,0
22,2017,299,0.717391304347826,0.1666666666666666,0,0.1909547738693467,0.1140939597315436,0
23,2021,280,0.4782608695652174,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
24,2016,250,0.8260869565217391,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
25,2018,375,0.5,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,0
26,2020,495,0.7826086956521738,0.3333333333333333,0,0.5276381909547738,0.0827740492170022,2
27,2018,475,0.3478260869565217,0.1666666666666666,0,0.271356783919598,0.0604026845637583,2
28,2019,250,0.8695652173913043,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
29,2020,278,0.0869565217391304,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
30,2018,495,0.7826086956521738,0.1666666666666666,0,0.3567839195979899,0.0290827740492169,2
31,2017,495,0.4347826086956521,0.1666666666666666,0,0.3567839195979899,0.0290827740492169,2
32,2019,278,0.3043478260869565,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
33,2019,278,0.3913043478260869,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
34,2018,235,0.5434782608695652,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
35,2022,302,0.2826086956521739,0.3333333333333333,0.3333333333333333,0.4271356783919597,0.0827740492170022,0
36,2017,480,0.5217391304347826,0.3333333333333333,0,0.3115577889447236,0.0604026845637583,2
37,2019,325,0.3260869565217391,0.1666666666666666,0,0.1708542713567839,0.0290827740492169,0
