,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan
71,2019,357,0.15217391304347827,0.16666666666666666,0,0.3165829145728643,0.029082774049216997
72,2020,680,0.32608695652173914,0.16666666666666666,0,0.1608040201005025,0.05592841163310962
73,2017,475,0.5869565217391304,0.16666666666666666,0,0.3417085427135679,0.08277404921700224
74,2021,299,0.5,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
75,2016,299,0.45652173913043476,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
76,2018,299,0.2608695652173913,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
77,2020,300,0.10869565217391304,0.16666666666666666,0,0.1507537688442211,0.029082774049216997
78,2018,250,0.5652173913043478,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
79,2019,375,0.19565217391304346,0.16666666666666666,0,0.18090452261306533,0.10961968680089484
80,2020,375,0.08695652173913043,0.16666666666666666,0,0.18090452261306533,0.10961968680089484
81,2018,235,0.6956521739130435,0.16666666666666666,0,0.185929648241206,0.015659955257270694
82,2017,685,0.043478260869565216,0.33333333333333337,0.3333333333333333,0.42211055276381915,0.11633109619686802
83,2019,270,0.17391304347826086,0,0,0.1758793969849246,0.029082774049216997
84,2019,227,0,0.16666666666666666,0,0.12060301507537691,0.011185682326621926
85,2018,275,0.21739130434782608,0.16666666666666666,0,0.17085427135678394,0.029082774049216997
86,2022,270,0.13043478260869565,0,0,0.1758793969849246,0.029082774049216997
87,2023,270,0.2391304347826087,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
88,2022,278,0.021739130434782608,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
89,2020,270,0.2826086956521739,0,0,0.1758793969849246,0.029082774049216997
90,2017,270,0.06521739130434782,0,0,0.1758793969849246,0.029082774049216997
91,2021,375,0.15217391304347827,0.16666666666666666,0,0.18090452261306533,0.10961968680089484
92,2016,299,0.32608695652173914,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
93,2018,689,0.5869565217391304,0.33333333333333337,0.3333333333333333,0.42211055276381915,0.12080536912751677
94,2020,335,0.5,0.16666666666666666,0,0.12060301507537691,0.029082774049216997
95,2018,260,0.45652173913043476,0.16666666666666666,0,0.2613065326633166,0.03803131991051453
96,2019,275,0.2608695652173913,0.16666666666666666,0,0.12562814070351758,0.015659955257270694
97,2020,278,0.10869565217391304,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
98,2018,278,0.5652173913043478,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
99,2017,495,0.19565217391304346,0.16666666666666666,0,0.18090452261306533,0.10961968680089484
100,2019,495,0.08695652173913043,0.33333333333333337,0,0.07035175879396982,0.3243847874720358
101,2019,200,0.6956521739130435,0.16666666666666666,0,0.12060301507537691,0.015659955257270694
102,2018,265,0.8695652173913043,0.16666666666666666,0,0.12060301507537691,0.029082774049216997
103,2022,227,0.9130434782608695,0.16666666666666666,0,0.12060301507537691,0.011185682326621926
104,2017,325,0.717391304347826,0.16666666666666666,0,0.19095477386934673,0.060402684563758385
105,2019,475,0.4782608695652174,0.16666666666666666,0,0.21105527638190957,0.029082774049216997
106,2019,685,0.8260869565217391,0.33333333333333337,0.3333333333333333,0.321608040201005,0.10514541387024609
107,2018,270,0.5,0.16666666666666666,0,0.12562814070351758,0.015659955257270694
108,2022,260,0.7826086956521738,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
109,2023,255,0.34782608695652173,0,0.3333333333333333,0.1306532663316583,0.03803131991051453
110,2022,280,0.8695652173913043,0.16666666666666666,0,0.321608040201005,0.17225950782997762
111,2020,350,0.08695652173913043,0.16666666666666666,0,0.33668341708542715,0.060402684563758385
112,2017,480,0.7826086956521738,0.33333333333333337,0,0.31155778894472363,0.060402684563758385
113,2021,495,0.43478260869565216,0.33333333333333337,0,0.6633165829145728,0.060402684563758385
114,2016,270,0.30434782608695654,0.16666666666666666,0,0.12562814070351758,0.015659955257270694
115,2018,260,0.3913043478260869,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
116,2020,260,0.5434782608695652,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
117,2018,260,0.2826086956521739,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
118,2019,350,0.5217391304347826,0,0,0.1758793969849246,0.029082774049216997
119,2010,350,0.32608695652173914,0.16666666666666666,0,0.3417085427135679,0.060402684563758385
120,2023,270,0.19565217391304346,0,0,0.1758793969849246,0.029082774049216997
121,2022,270,0.8260869565217391,0.16666666666666666,0,0.12562814070351758,0.015659955257270694
122,2019,350,0.043478260869565216,0.16666666666666666,0,0.22613065326633164,0.04921700223713646
123,2020,325,0.5,0.16666666666666666,0,0.19095477386934673,0.060402684563758385
124,2017,250,0.021739130434782608,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
125,2021,299,0.3695652173913043,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
126,2016,200,0.7826086956521738,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
127,2018,370,0.41304347826086957,0.16666666666666666,0,0.2914572864321608,0.029082774049216997
128,2020,255,0.5,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
129,2018,299,0.30434782608695654,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
130,2019,200,0.3913043478260869,0.16666666666666666,0,0.2613065326633166,0.029082774049216997
131,2020,299,0.5434782608695652,0.16666666666666666,0,0.1507537688442211,0.029082774049216997
132,2018,689,0.2826086956521739,0.33333333333333337,0.3333333333333333,0.42211055276381915,0.11633109619686802
133,2017,685,0.5217391304347826,0.33333333333333337,0.3333333333333333,0.31155778894472363,0.11633109619686802
134,2019,475,0.32608695652173914,0.16666666666666666,0,0.271356783919598,0.060402684563758385
135,2019,275,0.19565217391304346,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
136,2018,275,0.8260869565217391,0.16666666666666666,0,0.1758793969849246,0.029082774049216997
137,2022,270,0.043478260869565216,0.16666666666666666,0,0.12562814070351758,0.015659955257270694
138,2023,680,0.5,0.33333333333333337,0,0.3065326633165829,0.09395973154362416
139,2021,495,0.021739130434782608,0.16666666666666666,0,0.04522613065326633,0.13870246085011184
140,2016,475,0.3695652173913043,0.16666666666666666,0,0.22110552763819097,0.04921700223713646
141,2018,260,0.7826086956521738,0.16666666666666666,0,0.18090452261306533,0.029082774049216997
